"","Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
"251752",488,1,"2014-12-15",6728,568,1,1,"0",0
"251775",519,1,"2014-12-15",12556,1011,1,1,"0",0
"251852",609,1,"2014-12-15",6923,662,1,1,"0",0
"251873",639,1,"2014-12-15",8535,716,1,1,"0",0
"251991",783,1,"2014-12-15",12685,1003,1,1,"0",0
"252040",839,1,"2014-12-15",10560,1039,1,1,"0",0
"252109",924,1,"2014-12-15",9220,700,1,1,"0",0
"252123",939,1,"2014-12-15",10964,817,1,1,"0",0
"252219",1048,1,"2014-12-15",15569,876,1,1,"0",0
"252241",1074,1,"2014-12-15",9997,870,1,1,"0",0
"252345",83,7,"2014-12-14",0,0,0,0,"0",0
"252425",187,7,"2014-12-14",0,0,0,0,"0",0
"252435",200,7,"2014-12-14",0,0,0,0,"0",0
"252441",207,7,"2014-12-14",0,0,0,0,"0",0
"252478",248,7,"2014-12-14",0,0,0,0,"0",0
"252492",264,7,"2014-12-14",0,0,0,0,"0",0
"252650",447,7,"2014-12-14",0,0,0,0,"0",0
"252687",488,7,"2014-12-14",0,0,0,0,"0",0
"252710",519,7,"2014-12-14",0,0,0,0,"0",0
"252787",609,7,"2014-12-14",0,0,0,0,"0",0
"252808",639,7,"2014-12-14",0,0,0,0,"0",0
"252926",783,7,"2014-12-14",0,0,0,0,"0",0
"252975",839,7,"2014-12-14",0,0,0,0,"0",0
"253044",924,7,"2014-12-14",0,0,0,0,"0",0
"253058",939,7,"2014-12-14",0,0,0,0,"0",0
"253154",1048,7,"2014-12-14",0,0,0,0,"0",0
"253176",1074,7,"2014-12-14",0,0,0,0,"0",0
"253280",83,6,"2014-12-13",3524,287,1,0,"0",0
"253360",187,6,"2014-12-13",6311,774,1,0,"0",0
"253370",200,6,"2014-12-13",7871,892,1,0,"0",0
"253376",207,6,"2014-12-13",12134,1419,1,0,"0",0
"253413",248,6,"2014-12-13",14469,1610,1,0,"0",0
"253427",264,6,"2014-12-13",5859,828,1,0,"0",0
"253585",447,6,"2014-12-13",6226,705,1,0,"0",0
"253622",488,6,"2014-12-13",4435,432,1,0,"0",0
"253645",519,6,"2014-12-13",7180,751,1,0,"0",0
"253722",609,6,"2014-12-13",3282,348,1,0,"0",0
"253743",639,6,"2014-12-13",2741,299,1,0,"0",0
"253861",783,6,"2014-12-13",6214,594,1,0,"0",0
"253910",839,6,"2014-12-13",4162,479,1,0,"0",0
"253979",924,6,"2014-12-13",3578,365,1,0,"0",0
"253993",939,6,"2014-12-13",7313,704,1,0,"0",0
"254089",1048,6,"2014-12-13",7897,609,1,0,"0",0
"254111",1074,6,"2014-12-13",5905,595,1,0,"0",0
"254215",83,5,"2014-12-12",4123,361,1,0,"0",0
"254295",187,5,"2014-12-12",6124,723,1,0,"0",0
"254305",200,5,"2014-12-12",6825,856,1,0,"0",0
"254311",207,5,"2014-12-12",9514,1139,1,0,"0",0
"254348",248,5,"2014-12-12",8968,1083,1,0,"0",0
"254362",264,5,"2014-12-12",5527,807,1,0,"0",0
"254520",447,5,"2014-12-12",5411,613,1,0,"0",0
"254557",488,5,"2014-12-12",3600,335,1,0,"0",0
"254580",519,5,"2014-12-12",6263,592,1,0,"0",0
"254657",609,5,"2014-12-12",4949,561,1,0,"0",0
"254678",639,5,"2014-12-12",4562,496,1,0,"0",0
"254796",783,5,"2014-12-12",7542,695,1,0,"0",0
"254845",839,5,"2014-12-12",5201,688,1,0,"0",0
"254914",924,5,"2014-12-12",4888,458,1,0,"0",0
"254928",939,5,"2014-12-12",6353,622,1,0,"0",0
"255024",1048,5,"2014-12-12",7592,556,1,0,"0",0
"255046",1074,5,"2014-12-12",6023,626,1,0,"0",0
"255150",83,4,"2014-12-11",3338,297,1,0,"0",0
"255230",187,4,"2014-12-11",6112,778,1,0,"0",0
"255240",200,4,"2014-12-11",5992,786,1,0,"0",0
"255246",207,4,"2014-12-11",10596,1391,1,0,"0",0
"255283",248,4,"2014-12-11",9761,1162,1,0,"0",0
"255297",264,4,"2014-12-11",5055,775,1,0,"0",0
"255455",447,4,"2014-12-11",4770,566,1,0,"0",0
"255492",488,4,"2014-12-11",3087,320,1,0,"0",0
"255515",519,4,"2014-12-11",5251,515,1,0,"0",0
"255592",609,4,"2014-12-11",4281,499,1,0,"0",0
"255613",639,4,"2014-12-11",3764,401,1,0,"0",0
"255731",783,4,"2014-12-11",7421,692,1,0,"0",0
"255780",839,4,"2014-12-11",5637,717,1,0,"0",0
"255849",924,4,"2014-12-11",4302,427,1,0,"0",0
"255863",939,4,"2014-12-11",4886,477,1,0,"0",0
"255959",1048,4,"2014-12-11",6448,493,1,0,"0",0
"255981",1074,4,"2014-12-11",4997,542,1,0,"0",0
"256085",83,3,"2014-12-10",3661,346,1,0,"0",0
"256165",187,3,"2014-12-10",5780,693,1,0,"0",0
"256175",200,3,"2014-12-10",6908,859,1,0,"0",0
"256181",207,3,"2014-12-10",10020,1266,1,0,"0",0
"256218",248,3,"2014-12-10",8860,1118,1,0,"0",0
"256232",264,3,"2014-12-10",5189,738,1,0,"0",0
"256390",447,3,"2014-12-10",5113,592,1,0,"0",0
"256427",488,3,"2014-12-10",3462,368,1,0,"0",0
"256450",519,3,"2014-12-10",4576,493,1,0,"0",0
"256527",609,3,"2014-12-10",4146,475,1,0,"0",0
"256548",639,3,"2014-12-10",4243,462,1,0,"0",0
"256666",783,3,"2014-12-10",7083,648,1,0,"0",0
"256715",839,3,"2014-12-10",4773,628,1,0,"0",0
"256784",924,3,"2014-12-10",4487,414,1,0,"0",0
"256798",939,3,"2014-12-10",4831,481,1,0,"0",0
"256894",1048,3,"2014-12-10",6019,489,1,0,"0",0
"256916",1074,3,"2014-12-10",5503,517,1,0,"0",0
"257020",83,2,"2014-12-09",4129,347,1,0,"0",0
"257100",187,2,"2014-12-09",6926,870,1,0,"0",0
"257110",200,2,"2014-12-09",7082,973,1,0,"0",0
"257116",207,2,"2014-12-09",11120,1339,1,0,"0",0
"257153",248,2,"2014-12-09",10483,1331,1,0,"0",0
"257167",264,2,"2014-12-09",6311,869,1,0,"0",0
"257325",447,2,"2014-12-09",4827,610,1,0,"0",0
"257362",488,2,"2014-12-09",3401,383,1,0,"0",0
"257385",519,2,"2014-12-09",5025,524,1,0,"0",0
"257462",609,2,"2014-12-09",5536,597,1,0,"0",0
"257483",639,2,"2014-12-09",4426,485,1,0,"0",0
"257601",783,2,"2014-12-09",6745,657,1,0,"0",0
"257650",839,2,"2014-12-09",5177,726,1,0,"0",0
"257719",924,2,"2014-12-09",5775,514,1,0,"0",0
"257733",939,2,"2014-12-09",5345,492,1,0,"0",0
"257829",1048,2,"2014-12-09",6761,510,1,0,"0",0
"257851",1074,2,"2014-12-09",4354,464,1,0,"0",0
"257955",83,1,"2014-12-08",4500,401,1,0,"0",0
"258035",187,1,"2014-12-08",6254,764,1,0,"0",0
"258045",200,1,"2014-12-08",7626,921,1,0,"0",0
"258051",207,1,"2014-12-08",12193,1506,1,0,"0",0
"258088",248,1,"2014-12-08",8386,1077,1,0,"0",0
"258102",264,1,"2014-12-08",7036,953,1,0,"0",0
"258260",447,1,"2014-12-08",5610,685,1,0,"0",0
"258297",488,1,"2014-12-08",3541,363,1,0,"0",0
"258320",519,1,"2014-12-08",5516,537,1,0,"0",0
"258397",609,1,"2014-12-08",5588,585,1,0,"0",0
"258418",639,1,"2014-12-08",4225,449,1,0,"0",0
"258536",783,1,"2014-12-08",6998,685,1,0,"0",0
"258585",839,1,"2014-12-08",5907,757,1,0,"0",0
"258654",924,1,"2014-12-08",4273,421,1,0,"0",0
"258668",939,1,"2014-12-08",5872,559,1,0,"0",0
"258764",1048,1,"2014-12-08",6359,477,1,0,"0",0
"258786",1074,1,"2014-12-08",5363,575,1,0,"0",0
"258890",83,7,"2014-12-07",0,0,0,0,"0",0
"258970",187,7,"2014-12-07",0,0,0,0,"0",0
"258980",200,7,"2014-12-07",0,0,0,0,"0",0
"258986",207,7,"2014-12-07",0,0,0,0,"0",0
"259023",248,7,"2014-12-07",0,0,0,0,"0",0
"259037",264,7,"2014-12-07",0,0,0,0,"0",0
"259195",447,7,"2014-12-07",0,0,0,0,"0",0
"259232",488,7,"2014-12-07",0,0,0,0,"0",0
"259255",519,7,"2014-12-07",0,0,0,0,"0",0
"259332",609,7,"2014-12-07",0,0,0,0,"0",0
"259353",639,7,"2014-12-07",0,0,0,0,"0",0
"259471",783,7,"2014-12-07",0,0,0,0,"0",0
"259520",839,7,"2014-12-07",0,0,0,0,"0",0
"259589",924,7,"2014-12-07",0,0,0,0,"0",0
"259603",939,7,"2014-12-07",0,0,0,0,"0",0
"259699",1048,7,"2014-12-07",0,0,0,0,"0",0
"259721",1074,7,"2014-12-07",0,0,0,0,"0",0
"259825",83,6,"2014-12-06",3624,302,1,0,"0",0
"259905",187,6,"2014-12-06",5531,619,1,0,"0",0
"259915",200,6,"2014-12-06",7797,891,1,0,"0",0
"259921",207,6,"2014-12-06",11311,1372,1,0,"0",0
"259958",248,6,"2014-12-06",11414,1475,1,0,"0",0
"259972",264,6,"2014-12-06",6331,850,1,0,"0",0
"260130",447,6,"2014-12-06",5833,688,1,0,"0",0
"260167",488,6,"2014-12-06",4344,419,1,0,"0",0
"260190",519,6,"2014-12-06",6662,684,1,0,"0",0
"260267",609,6,"2014-12-06",3845,363,1,0,"0",0
"260288",639,6,"2014-12-06",3484,369,1,0,"0",0
"260406",783,6,"2014-12-06",6062,568,1,0,"0",0
"260455",839,6,"2014-12-06",3606,436,1,0,"0",0
"260524",924,6,"2014-12-06",2989,335,1,0,"0",0
"260538",939,6,"2014-12-06",7368,750,1,0,"0",0
"260634",1048,6,"2014-12-06",6632,527,1,0,"0",0
"260656",1074,6,"2014-12-06",5440,550,1,0,"0",0
"260760",83,5,"2014-12-05",5075,426,1,1,"0",0
"260840",187,5,"2014-12-05",11389,1142,1,1,"0",0
"260850",200,5,"2014-12-05",9489,1160,1,1,"0",0
"260856",207,5,"2014-12-05",16294,1708,1,1,"0",0
"260893",248,5,"2014-12-05",16225,1810,1,1,"0",0
"260907",264,5,"2014-12-05",8540,1061,1,1,"0",0
"261065",447,5,"2014-12-05",7834,780,1,1,"0",0
"261102",488,5,"2014-12-05",5877,539,1,1,"0",0
"261125",519,5,"2014-12-05",10336,872,1,1,"0",0
"261202",609,5,"2014-12-05",6051,609,1,1,"0",0
"261223",639,5,"2014-12-05",6711,671,1,1,"0",0
"261341",783,5,"2014-12-05",12041,983,1,1,"0",0
"261390",839,5,"2014-12-05",7739,844,1,1,"0",0
"261459",924,5,"2014-12-05",6587,578,1,1,"0",0
"261473",939,5,"2014-12-05",8397,763,1,1,"0",0
"261569",1048,5,"2014-12-05",12450,763,1,1,"0",0
"261591",1074,5,"2014-12-05",8462,834,1,1,"0",0
"261695",83,4,"2014-12-04",4918,373,1,1,"0",0
"261775",187,4,"2014-12-04",8181,894,1,1,"0",0
"261785",200,4,"2014-12-04",8344,1023,1,1,"0",0
"261791",207,4,"2014-12-04",15367,1611,1,1,"0",0
"261828",248,4,"2014-12-04",12863,1443,1,1,"0",0
"261842",264,4,"2014-12-04",7916,1002,1,1,"0",0
"262000",447,4,"2014-12-04",5991,626,1,1,"0",0
"262037",488,4,"2014-12-04",5104,437,1,1,"0",0
"262060",519,4,"2014-12-04",7953,688,1,1,"0",0
"262137",609,4,"2014-12-04",5739,600,1,1,"0",0
"262158",639,4,"2014-12-04",6283,622,1,1,"0",0
"262276",783,4,"2014-12-04",9509,788,1,1,"0",0
"262325",839,4,"2014-12-04",7369,810,1,1,"0",0
"262394",924,4,"2014-12-04",6841,580,1,1,"0",0
"262408",939,4,"2014-12-04",7173,616,1,1,"0",0
"262504",1048,4,"2014-12-04",9403,612,1,1,"0",0
"262526",1074,4,"2014-12-04",7450,678,1,1,"0",0
"262630",83,3,"2014-12-03",4984,395,1,1,"0",0
"262710",187,3,"2014-12-03",7710,845,1,1,"0",0
"262720",200,3,"2014-12-03",8484,1019,1,1,"0",0
"262726",207,3,"2014-12-03",15057,1543,1,1,"0",0
"262763",248,3,"2014-12-03",13616,1463,1,1,"0",0
"262777",264,3,"2014-12-03",7762,940,1,1,"0",0
"262935",447,3,"2014-12-03",6107,676,1,1,"0",0
"262972",488,3,"2014-12-03",4164,385,1,1,"0",0
"262995",519,3,"2014-12-03",6618,635,1,1,"0",0
"263072",609,3,"2014-12-03",5753,591,1,1,"0",0
"263093",639,3,"2014-12-03",5363,541,1,1,"0",0
"263211",783,3,"2014-12-03",8296,700,1,1,"0",0
"263260",839,3,"2014-12-03",7764,834,1,1,"0",0
"263329",924,3,"2014-12-03",5970,512,1,1,"0",0
"263343",939,3,"2014-12-03",6812,625,1,1,"0",0
"263439",1048,3,"2014-12-03",9030,592,1,1,"0",0
"263461",1074,3,"2014-12-03",6298,555,1,1,"0",0
"263565",83,2,"2014-12-02",4948,385,1,1,"0",0
"263645",187,2,"2014-12-02",10499,1061,1,1,"0",0
"263655",200,2,"2014-12-02",9754,1118,1,1,"0",0
"263661",207,2,"2014-12-02",16457,1647,1,1,"0",0
"263698",248,2,"2014-12-02",13370,1429,1,1,"0",0
"263712",264,2,"2014-12-02",8576,1059,1,1,"0",0
"263870",447,2,"2014-12-02",6349,678,1,1,"0",0
"263907",488,2,"2014-12-02",4393,421,1,1,"0",0
"263930",519,2,"2014-12-02",7891,663,1,1,"0",0
"264007",609,2,"2014-12-02",6394,610,1,1,"0",0
"264028",639,2,"2014-12-02",7021,619,1,1,"0",0
"264146",783,2,"2014-12-02",8969,773,1,1,"0",0
"264195",839,2,"2014-12-02",7985,859,1,1,"0",0
"264264",924,2,"2014-12-02",6646,550,1,1,"0",0
"264278",939,2,"2014-12-02",6334,583,1,1,"0",0
"264374",1048,2,"2014-12-02",9538,627,1,1,"0",0
"264396",1074,2,"2014-12-02",6186,564,1,1,"0",0
"264500",83,1,"2014-12-01",5992,449,1,1,"0",0
"264580",187,1,"2014-12-01",10483,1027,1,1,"0",0
"264590",200,1,"2014-12-01",9967,1135,1,1,"0",0
"264596",207,1,"2014-12-01",20123,1859,1,1,"0",0
"264633",248,1,"2014-12-01",15399,1524,1,1,"0",0
"264647",264,1,"2014-12-01",10364,1189,1,1,"0",0
"264805",447,1,"2014-12-01",7445,773,1,1,"0",0
"264842",488,1,"2014-12-01",5409,481,1,1,"0",0
"264865",519,1,"2014-12-01",9576,793,1,1,"0",0
"264942",609,1,"2014-12-01",6516,625,1,1,"0",0
"264963",639,1,"2014-12-01",7954,685,1,1,"0",0
"265081",783,1,"2014-12-01",10021,855,1,1,"0",0
"265130",839,1,"2014-12-01",9013,959,1,1,"0",0
"265199",924,1,"2014-12-01",7565,637,1,1,"0",0
"265213",939,1,"2014-12-01",10403,795,1,1,"0",0
"265309",1048,1,"2014-12-01",12787,788,1,1,"0",0
"265331",1074,1,"2014-12-01",8452,730,1,1,"0",0
"265435",83,7,"2014-11-30",0,0,0,0,"0",0
"265515",187,7,"2014-11-30",0,0,0,0,"0",0
"265525",200,7,"2014-11-30",0,0,0,0,"0",0
"265531",207,7,"2014-11-30",0,0,0,0,"0",0
"265568",248,7,"2014-11-30",0,0,0,0,"0",0
"265582",264,7,"2014-11-30",0,0,0,0,"0",0
"265740",447,7,"2014-11-30",0,0,0,0,"0",0
"265777",488,7,"2014-11-30",0,0,0,0,"0",0
"265800",519,7,"2014-11-30",0,0,0,0,"0",0
"265877",609,7,"2014-11-30",0,0,0,0,"0",0
"265898",639,7,"2014-11-30",0,0,0,0,"0",0
"266016",783,7,"2014-11-30",0,0,0,0,"0",0
"266065",839,7,"2014-11-30",0,0,0,0,"0",0
"266134",924,7,"2014-11-30",0,0,0,0,"0",0
"266148",939,7,"2014-11-30",0,0,0,0,"0",0
"266244",1048,7,"2014-11-30",0,0,0,0,"0",0
"266266",1074,7,"2014-11-30",0,0,0,0,"0",0
"266370",83,6,"2014-11-29",3928,314,1,0,"0",0
"266450",187,6,"2014-11-29",6786,730,1,0,"0",0
"266460",200,6,"2014-11-29",8217,952,1,0,"0",0
"266466",207,6,"2014-11-29",12486,1408,1,0,"0",0
"266503",248,6,"2014-11-29",11650,1379,1,0,"0",0
"266517",264,6,"2014-11-29",6321,851,1,0,"0",0
"266675",447,6,"2014-11-29",7811,778,1,0,"0",0
"266712",488,6,"2014-11-29",5027,508,1,0,"0",0
"266735",519,6,"2014-11-29",6934,715,1,0,"0",0
"266812",609,6,"2014-11-29",3472,350,1,0,"0",0
"266833",639,6,"2014-11-29",3514,386,1,0,"0",0
"266951",783,6,"2014-11-29",7557,656,1,0,"0",0
"267000",839,6,"2014-11-29",4039,482,1,0,"0",0
"267069",924,6,"2014-11-29",3804,351,1,0,"0",0
"267083",939,6,"2014-11-29",7602,712,1,0,"0",0
"267179",1048,6,"2014-11-29",8490,613,1,0,"0",0
"267201",1074,6,"2014-11-29",5723,646,1,0,"0",0
"267305",83,5,"2014-11-28",4985,401,1,1,"0",0
"267385",187,5,"2014-11-28",9631,1032,1,1,"0",0
"267395",200,5,"2014-11-28",10390,1223,1,1,"0",0
"267401",207,5,"2014-11-28",15487,1601,1,1,"0",0
"267438",248,5,"2014-11-28",12839,1445,1,1,"0",0
"267452",264,5,"2014-11-28",8559,1049,1,1,"0",0
"267610",447,5,"2014-11-28",6916,687,1,1,"0",0
"267647",488,5,"2014-11-28",4796,447,1,1,"0",0
"267670",519,5,"2014-11-28",8825,753,1,1,"0",0
"267747",609,5,"2014-11-28",6094,608,1,1,"0",0
"267768",639,5,"2014-11-28",7441,668,1,1,"0",0
"267886",783,5,"2014-11-28",10783,929,1,1,"0",0
"267935",839,5,"2014-11-28",7150,768,1,1,"0",0
"268004",924,5,"2014-11-28",6433,539,1,1,"0",0
"268018",939,5,"2014-11-28",8149,726,1,1,"0",0
"268114",1048,5,"2014-11-28",9792,683,1,1,"0",0
"268136",1074,5,"2014-11-28",7510,726,1,1,"0",0
"268240",83,4,"2014-11-27",4067,358,1,1,"0",0
"268320",187,4,"2014-11-27",7856,865,1,1,"0",0
"268330",200,4,"2014-11-27",8061,938,1,1,"0",0
"268336",207,4,"2014-11-27",14232,1520,1,1,"0",0
"268373",248,4,"2014-11-27",11363,1297,1,1,"0",0
"268387",264,4,"2014-11-27",7048,886,1,1,"0",0
"268545",447,4,"2014-11-27",5722,648,1,1,"0",0
"268582",488,4,"2014-11-27",4616,432,1,1,"0",0
"268605",519,4,"2014-11-27",6597,594,1,1,"0",0
"268682",609,4,"2014-11-27",6192,582,1,1,"0",0
"268703",639,4,"2014-11-27",5464,508,1,1,"0",0
"268821",783,4,"2014-11-27",8807,774,1,1,"0",0
"268870",839,4,"2014-11-27",6883,820,1,1,"0",0
"268939",924,4,"2014-11-27",5814,536,1,1,"0",0
"268953",939,4,"2014-11-27",6764,601,1,1,"0",0
"269049",1048,4,"2014-11-27",9194,589,1,1,"0",0
"269071",1074,4,"2014-11-27",6757,672,1,1,"0",0
"269175",83,3,"2014-11-26",4301,360,1,1,"0",0
"269255",187,3,"2014-11-26",6770,763,1,1,"0",0
"269265",200,3,"2014-11-26",7564,959,1,1,"0",0
"269271",207,3,"2014-11-26",14455,1557,1,1,"0",0
"269308",248,3,"2014-11-26",9553,1153,1,1,"0",0
"269322",264,3,"2014-11-26",7217,919,1,1,"0",0
"269480",447,3,"2014-11-26",5934,670,1,1,"0",0
"269517",488,3,"2014-11-26",4429,395,1,1,"0",0
"269540",519,3,"2014-11-26",6149,576,1,1,"0",0
"269617",609,3,"2014-11-26",5058,520,1,1,"0",0
"269638",639,3,"2014-11-26",5572,485,1,1,"0",0
"269756",783,3,"2014-11-26",7657,693,1,1,"0",0
"269805",839,3,"2014-11-26",6820,809,1,1,"0",0
"269874",924,3,"2014-11-26",5320,482,1,1,"0",0
"269888",939,3,"2014-11-26",6573,602,1,1,"0",0
"269984",1048,3,"2014-11-26",8236,590,1,1,"0",0
"270006",1074,3,"2014-11-26",5013,528,1,1,"0",0
"270110",83,2,"2014-11-25",5346,402,1,1,"0",0
"270190",187,2,"2014-11-25",8608,950,1,1,"0",0
"270200",200,2,"2014-11-25",8094,1005,1,1,"0",0
"270206",207,2,"2014-11-25",14447,1555,1,1,"0",0
"270243",248,2,"2014-11-25",11014,1257,1,1,"0",0
"270257",264,2,"2014-11-25",7655,939,1,1,"0",0
"270415",447,2,"2014-11-25",6144,671,1,1,"0",0
"270452",488,2,"2014-11-25",4966,421,1,1,"0",0
"270475",519,2,"2014-11-25",5521,531,1,1,"0",0
"270552",609,2,"2014-11-25",5343,584,1,1,"0",0
"270573",639,2,"2014-11-25",5798,556,1,1,"0",0
"270691",783,2,"2014-11-25",8163,700,1,1,"0",0
"270740",839,2,"2014-11-25",6475,750,1,1,"0",0
"270809",924,2,"2014-11-25",6059,541,1,1,"0",0
"270823",939,2,"2014-11-25",6912,583,1,1,"0",0
"270919",1048,2,"2014-11-25",8114,521,1,1,"0",0
"270941",1074,2,"2014-11-25",6276,587,1,1,"0",0
"271045",83,1,"2014-11-24",5225,433,1,1,"0",0
"271125",187,1,"2014-11-24",8535,941,1,1,"0",0
"271135",200,1,"2014-11-24",9688,1144,1,1,"0",0
"271141",207,1,"2014-11-24",17879,1768,1,1,"0",0
"271178",248,1,"2014-11-24",11226,1283,1,1,"0",0
"271192",264,1,"2014-11-24",8496,1053,1,1,"0",0
"271350",447,1,"2014-11-24",6885,749,1,1,"0",0
"271387",488,1,"2014-11-24",4901,462,1,1,"0",0
"271410",519,1,"2014-11-24",6711,635,1,1,"0",0
"271487",609,1,"2014-11-24",5213,566,1,1,"0",0
"271508",639,1,"2014-11-24",7817,668,1,1,"0",0
"271626",783,1,"2014-11-24",9679,843,1,1,"0",0
"271675",839,1,"2014-11-24",7496,828,1,1,"0",0
"271744",924,1,"2014-11-24",7576,641,1,1,"0",0
"271758",939,1,"2014-11-24",8319,684,1,1,"0",0
"271854",1048,1,"2014-11-24",10011,639,1,1,"0",0
"271876",1074,1,"2014-11-24",8617,730,1,1,"0",0
"271980",83,7,"2014-11-23",0,0,0,0,"0",0
"272060",187,7,"2014-11-23",0,0,0,0,"0",0
"272070",200,7,"2014-11-23",0,0,0,0,"0",0
"272076",207,7,"2014-11-23",0,0,0,0,"0",0
"272113",248,7,"2014-11-23",0,0,0,0,"0",0
"272127",264,7,"2014-11-23",0,0,0,0,"0",0
"272285",447,7,"2014-11-23",0,0,0,0,"0",0
"272322",488,7,"2014-11-23",0,0,0,0,"0",0
"272345",519,7,"2014-11-23",0,0,0,0,"0",0
"272422",609,7,"2014-11-23",0,0,0,0,"0",0
"272443",639,7,"2014-11-23",0,0,0,0,"0",0
"272561",783,7,"2014-11-23",0,0,0,0,"0",0
"272610",839,7,"2014-11-23",0,0,0,0,"0",0
"272679",924,7,"2014-11-23",0,0,0,0,"0",0
"272693",939,7,"2014-11-23",0,0,0,0,"0",0
"272789",1048,7,"2014-11-23",0,0,0,0,"0",0
"272811",1074,7,"2014-11-23",0,0,0,0,"0",0
"272915",83,6,"2014-11-22",3387,281,1,0,"0",0
"272995",187,6,"2014-11-22",3707,437,1,0,"0",0
"273005",200,6,"2014-11-22",6573,834,1,0,"0",0
"273011",207,6,"2014-11-22",8336,1032,1,0,"0",0
"273048",248,6,"2014-11-22",7779,1027,1,0,"0",0
"273062",264,6,"2014-11-22",5373,749,1,0,"0",0
"273220",447,6,"2014-11-22",5220,628,1,0,"0",0
"273257",488,6,"2014-11-22",3501,409,1,0,"0",0
"273280",519,6,"2014-11-22",5350,602,1,0,"0",0
"273357",609,6,"2014-11-22",3166,318,1,0,"0",0
"273378",639,6,"2014-11-22",3061,299,1,0,"0",0
"273496",783,6,"2014-11-22",5480,574,1,0,"0",0
"273545",839,6,"2014-11-22",3609,426,1,0,"0",0
"273614",924,6,"2014-11-22",2781,281,1,0,"0",0
"273628",939,6,"2014-11-22",6243,641,1,0,"0",0
"273724",1048,6,"2014-11-22",6876,546,1,0,"0",0
"273746",1074,6,"2014-11-22",4594,537,1,0,"0",0
"273850",83,5,"2014-11-21",3846,374,1,0,"0",0
"273930",187,5,"2014-11-21",6137,796,1,0,"0",0
"273940",200,5,"2014-11-21",7152,909,1,0,"0",0
"273946",207,5,"2014-11-21",9714,1190,1,0,"0",0
"273983",248,5,"2014-11-21",7634,1033,1,0,"0",0
"273997",264,5,"2014-11-21",5261,740,1,0,"0",0
"274155",447,5,"2014-11-21",4750,585,1,0,"0",0
"274192",488,5,"2014-11-21",3407,361,1,0,"0",0
"274215",519,5,"2014-11-21",4682,506,1,0,"0",0
"274292",609,5,"2014-11-21",4862,533,1,0,"0",0
"274313",639,5,"2014-11-21",4443,491,1,0,"0",0
"274431",783,5,"2014-11-21",6613,687,1,0,"0",0
"274480",839,5,"2014-11-21",4904,640,1,0,"0",0
"274549",924,5,"2014-11-21",4449,442,1,0,"0",0
"274563",939,5,"2014-11-21",5238,552,1,0,"0",0
"274659",1048,5,"2014-11-21",5217,428,1,0,"0",0
"274681",1074,5,"2014-11-21",5514,590,1,0,"0",0
"274785",83,4,"2014-11-20",2930,297,1,0,"0",0
"274865",187,4,"2014-11-20",5035,723,1,0,"0",0
"274875",200,4,"2014-11-20",6208,877,1,0,"0",0
"274881",207,4,"2014-11-20",9443,1170,1,0,"0",0
"274918",248,4,"2014-11-20",7179,1027,1,0,"0",0
"274932",264,4,"2014-11-20",4588,671,1,0,"0",0
"275090",447,4,"2014-11-20",4328,551,1,0,"0",0
"275127",488,4,"2014-11-20",2911,339,1,0,"0",0
"275150",519,4,"2014-11-20",3857,464,1,0,"0",0
"275227",609,4,"2014-11-20",4438,476,1,0,"0",0
"275248",639,4,"2014-11-20",4233,445,1,0,"0",0
"275366",783,4,"2014-11-20",6572,656,1,0,"0",0
"275415",839,4,"2014-11-20",4998,685,1,0,"0",0
"275484",924,4,"2014-11-20",3988,439,1,0,"0",0
"275498",939,4,"2014-11-20",4820,496,1,0,"0",0
"275594",1048,4,"2014-11-20",5587,449,1,0,"0",0
"275616",1074,4,"2014-11-20",4749,571,1,0,"0",0
"275720",83,3,"2014-11-19",3590,335,1,0,"0",0
"275800",187,3,"2014-11-19",4565,641,1,0,"0",0
"275810",200,3,"2014-11-19",6347,863,1,0,"0",0
"275816",207,3,"2014-11-19",9570,1184,1,0,"0",0
"275853",248,3,"2014-11-19",6818,961,1,0,"0",0
"275867",264,3,"2014-11-19",4997,716,1,0,"0",0
"276025",447,3,"2014-11-19",4637,569,1,0,"0",0
"276062",488,3,"2014-11-19",2950,320,1,0,"0",0
"276085",519,3,"2014-11-19",3629,429,1,0,"0",0
"276162",609,3,"2014-11-19",4396,455,1,0,"0",0
"276183",639,3,"2014-11-19",3895,449,1,0,"0",0
"276301",783,3,"2014-11-19",5747,598,1,0,"0",0
"276350",839,3,"2014-11-19",4501,635,1,0,"0",0
"276419",924,3,"2014-11-19",4535,435,1,0,"0",0
"276433",939,3,"2014-11-19",4494,480,1,0,"0",0
"276529",1048,3,"2014-11-19",5483,429,1,0,"0",0
"276551",1074,3,"2014-11-19",0,0,0,0,"a",0
"276655",83,2,"2014-11-18",3023,301,1,0,"0",0
"276735",187,2,"2014-11-18",6335,824,1,0,"0",0
"276745",200,2,"2014-11-18",7532,973,1,0,"0",0
"276751",207,2,"2014-11-18",8643,1075,1,0,"0",0
"276788",248,2,"2014-11-18",7397,996,1,0,"0",0
"276802",264,2,"2014-11-18",5122,725,1,0,"0",0
"276960",447,2,"2014-11-18",4408,586,1,0,"0",0
"276997",488,2,"2014-11-18",2583,358,1,0,"0",0
"277020",519,2,"2014-11-18",3964,449,1,0,"0",0
"277097",609,2,"2014-11-18",4441,506,1,0,"0",0
"277118",639,2,"2014-11-18",3889,446,1,0,"0",0
